code,disciplines
1551400,Shooting
1551401,Shooting
1551443,Weightlifting
1551445,Weightlifting
1551552,Surfing
1551755,Athletics
1551787,Wrestling
1551794,Wrestling
1551804,Boxing
1551805,Cycling Track
1551878,Cycling Track
1551880,Cycling Track
1551883,Cycling Track
1551884,Boxing
1551906,Cycling Track
1551907,Cycling Mountain Bike
1551908,Athletics
1551912,Cycling Mountain Bike
1551918,Athletics
1552005,Sailing
1552017,Badminton
1552020,Athletics
1552024,Athletics
1552030,Taekwondo
1552033,Rowing
1552037,Rowing
1552039,Rowing
1552040,Rowing
1552045,Rowing
1552049,Rowing
1552057,Swimming
1552058,Rowing
1552065,Rowing
1552074,Rowing
1552080,Rowing
1552086,Sport Climbing
1552087,Sport Climbing
1552089,Sport Climbing
1552154,Athletics
1552155,Athletics
1552156,Athletics
1552157,Athletics
1552158,Athletics
1552159,Athletics
1552160,Athletics
1552161,Athletics
1552162,Athletics
1552163,Athletics
1552166,Athletics
1552167,Athletics
1552168,Athletics
1552169,Athletics
1552170,Athletics
1552171,Athletics
1552172,Athletics
1552173,Athletics
1552174,Athletics
1552175,Athletics
1552177,Athletics
1552294,Athletics
1552295,Athletics
1552296,Athletics
1552298,Athletics
1552299,Athletics
1552300,Athletics
1552303,Athletics
1552304,Athletics
1552305,Athletics
1552306,Athletics
1552307,Athletics
1552309,Athletics
1552311,Athletics
1552312,Athletics
1552313,Athletics
1552318,Athletics
1552320,Swimming
1552338,Swimming
1552341,Athletics
1552342,Athletics
1552343,Athletics
1552347,Athletics
1552348,Athletics
1552349,Athletics
1552351,Athletics
1552358,Athletics
1552362,Athletics
1552363,Athletics
1552364,Athletics
1552365,Athletics
1552368,Fencing
1552370,Judo
1552373,Athletics
1552374,Athletics
1552375,Athletics
1552378,Athletics
1552379,Athletics
1552380,Athletics
1552381,Athletics
1552383,Athletics
1552384,Athletics
1552385,Athletics
1552386,Athletics
1552387,Athletics
1552389,Athletics
1552390,Athletics
1552392,Athletics
1552394,Athletics
1552395,Athletics
1552403,Golf
1552443,Wrestling
1552444,Wrestling
1552449,Wrestling
1552495,Wrestling
1552548,Rowing
1552556,Judo
1552558,Swimming
1552569,Marathon Swimming
1552575,Table Tennis
1553020,Athletics
1553021,Modern Pentathlon
1553029,Modern Pentathlon
1553031,Modern Pentathlon
1553033,Modern Pentathlon
1553039,Athletics
1553247,Shooting
1553249,Archery
1553253,Shooting
1553255,Shooting
1553257,Archery
1553258,Archery
1553260,Shooting
1553262,Shooting
1553271,Shooting
1553277,Shooting
1553280,Shooting
1553285,Archery
1553289,Shooting
1553293,Shooting
1553294,Shooting
1553299,Shooting
1553301,Shooting
1553574,Cycling Road
1553663,Sport Climbing
1553664,Sport Climbing
1553666,Sport Climbing
1553674,Sport Climbing
1553677,Sport Climbing
1553685,Sport Climbing
1553688,Sport Climbing
1553753,Athletics
1553910,Athletics
1553912,Athletics
1553914,Athletics
1554140,Shooting
1554520,Athletics
1554521,Athletics
1554523,Athletics
1554524,Athletics
1554526,Athletics
1554735,Fencing
1554801,Diving
1554860,Sailing
1554885,Wrestling
1554897,Cycling Road
1554945,Handball
1554952,Handball
1554957,Handball
1554960,Handball
1554963,Handball
1554966,Tennis
1554968,Tennis
1554970,Tennis
1554972,Tennis
1554976,Handball
1554978,Handball
1554980,Handball
1554982,Handball
1554983,Handball
1554984,Handball
1554985,Handball
1554994,Handball
1554997,Handball
1555001,Handball
1555006,Handball
1555010,Handball
1555033,Artistic Gymnastics
1555034,Boxing
1555069,Boxing
1555070,Rhythmic Gymnastics
1555074,Boxing
1555082,Athletics
1555095,Rugby Sevens
1555096,Rugby Sevens
1555097,Rugby Sevens
1555098,Boxing
1555100,Swimming
1555101,Swimming
1555109,Equestrian
1555111,Hockey
1555185,Boxing
1555190,Boxing
1555195,Boxing
1555234,Judo
1555317,Boxing
1555318,Boxing
1555372,Athletics
1555380,Athletics
1555417,Tennis
1555457,Athletics
1555479,Canoe Sprint
1555493,Sailing
1555498,Athletics
1555500,Athletics
1555501,Athletics
1555502,Athletics
1555503,Athletics
1555506,Athletics
1555510,Swimming
1555511,Athletics
1555512,Swimming
1555519,Athletics
1555537,Boxing
1555541,Taekwondo
1555542,Swimming
1555548,Boxing
1555550,Swimming
1555553,Boxing
1555554,Athletics
1555555,Athletics
1555589,Taekwondo
1555792,Golf
1555976,Shooting
1555977,Shooting
1555979,Shooting
1555983,Shooting
1555984,Shooting
1555996,Shooting
1556010,Boxing
1556045,Boxing
1556049,Boxing
1556052,Boxing
1556056,Sport Climbing
1556057,Sport Climbing
1556067,Swimming
1556072,Cycling Road
1556074,Athletics
1556082,Table Tennis
1556083,Table Tennis
1556084,Table Tennis
1556089,Swimming
1556091,Swimming
1556092,Swimming
1556093,Swimming
1556094,Swimming
1556208,Athletics
1556210,Athletics
1556225,Water Polo
1556227,Water Polo
1556228,Water Polo
1556229,Water Polo
1556230,Water Polo
1556231,Water Polo
1556238,Water Polo
1556239,Water Polo
1556241,Water Polo
1556243,Water Polo
1556244,Water Polo
1556245,Water Polo
1556381,Athletics
1556383,Athletics
1556384,Athletics
1556385,Athletics
1556388,Athletics
1556390,Athletics
1556391,Athletics
1556395,Athletics
1556397,Athletics
1556403,Swimming
1556598,Badminton
1556614,Surfing
1556615,Surfing
1556634,Judo
1556645,Badminton
1556646,Badminton
1556647,Badminton
1556649,Badminton
1556671,Athletics
1556677,Athletics
1556680,Athletics
1556793,Golf
1556796,Golf
1556797,Boxing
1556818,Athletics
1556821,Boxing
1556834,Skateboarding
1556838,Skateboarding
1556860,Boxing
1556869,Boxing
1556873,Wrestling
1556876,Shooting
1556987,Cycling Mountain Bike
1557220,Athletics
1557503,Golf
1557703,Golf
1557704,Archery
1557889,Athletics
1557964,Surfing
1558157,Shooting
1558203,Rowing
1558205,Rowing
1558224,Rowing
1558236,Triathlon
1558237,Triathlon
1558238,Triathlon
1558240,Triathlon
1558281,Football
1558307,Rowing
1558309,Rowing
1558311,Rowing
1558312,Rowing
1558313,Rowing
1558324,Rowing
1558326,Rowing
1558333,Rowing
1558334,Rowing
1558339,Rowing
1558340,Rowing
1558341,Rowing
1558569,Tennis
1558572,Tennis
1558573,Tennis
1558575,Tennis
1558576,Tennis
1558578,Tennis
1558586,Tennis
1558587,Tennis
1558588,Tennis
1558590,Tennis
1558641,Shooting
1558732,Canoe Slalom
1558748,Fencing
1558763,Shooting
1558773,Triathlon
1558775,Triathlon
1558777,Triathlon
1558780,Triathlon
1558782,Triathlon
1558784,Triathlon
1558815,Fencing
1558933,Swimming
1558938,Wrestling
1558945,Wrestling
