code,events
1540351,Men's +92kg
1540352,Women's 50kg
1540353,Women's 66kg
1540354,Women's 60kg
1540497,Men
1540498,Men
1540499,Men
1540516,Men
1540533,Men
1540534,Men
1540536,Men
1540537,Men
1540538,Men
1540539,Men
1540543,Men
1540583,Men's Singles
1540603,Men
1540605,Men
1540621,Men
1540623,Men
1540624,Men
1540625,Men
1540647,Men's Street
1540688,Women's Canoe Single 200m
1540691,Men's 100m Freestyle
1540691,Men's 50m Freestyle
1540692,Men's Windsurfing
1540693,Men's Dinghy
1540694,10m Air Pistol Men
1540695,Women
1540701,Women's 54kg
1540702,Women's 50kg
1540704,Men's 57kg
1540706,Men's Épée Individual
1540710,10m Air Rifle Women
1540710,10m Air Rifle Mixed Team
1540717,Women's 200m
1540717,Women's 4 x 100m Relay
1540829,Women's 50m Freestyle
1540832,Individual All-Around
1540905,Women's Canoe Single 200m
1540991,Men -68kg
1540998,Women's Single Sculls
1541062,Women's Individual
1541265,Women's Individual
1541265,Women's Team
1541265,Mixed Team
1541266,Women's Individual
1541266,Women's Team
1541268,Women's Individual
1541268,Women's Team
1541270,Men's Individual
1541270,Men's Team
1541270,Mixed Team
1541272,Men's Individual
1541272,Men's Team
1541275,Men's Individual
1541275,Men's Team
1541290,Men's Singles
1541351,Men's Single Sculls
1541356,Women's 59kg
1541364,Mixed Doubles
1541367,Mixed Doubles
1541369,Men's Singles
1541412,Women's Road Race
1541419,Men's Sabre Team
1541426,Men's Sabre Individual
1541426,Men's Sabre Team
1541427,Men's Sabre Individual
1541427,Men's Sabre Team
1541439,Men's Sabre Individual
1541439,Men's Sabre Team
1541452,Women's 10m Platform
1541452,Women's 3m Springboard
1541453,Women's 3m Springboard
1541460,Women's 200m Freestyle
1541462,Men's 1500m Freestyle
1541467,Men -73 kg
1541468,Women's 100m
1541471,Women's Team
1541473,Men's Singles
1541474,Men's Singles
1541474,Mixed Doubles
1541477,Women's Singles
1541477,Women's Team
1541478,Women's Singles
1541478,Women's Team
1541478,Mixed Doubles
1541544,Skeet Men
1541553,Women's Foil Individual
1541554,Women's Épée Individual
1541568,Men's Canoe Single 1000m
1541569,Men's Canoe Double 500m
1541570,Men's Canoe Double 500m
1541591,Women's 54kg
1541599,Men's 50m Freestyle
1541601,Women's 50m Freestyle
1541606,Men's 100m
1541610,Women's Singles
1541614,Mixed Doubles
1541617,Women's Doubles
1541618,Women's Doubles
1541619,Mixed Doubles
1541620,Men's Singles
1541623,Men's Doubles
1541624,Men's Doubles
1541629,Women's Doubles
1541630,Women's Doubles
1541633,Women's Singles
1541652,Women -49kg
1541656,Relay Only Athlete
1541659,Men's Cross-country
1541672,Relay Only Athlete
1541730,Men's +92kg
1541773,Men's 50m Freestyle
1541825,Women -49kg
1541970,Women +67kg
1542354,Men's Individual
1542359,Men -90 kg
1542385,Men's 100m Butterfly
1542416,10m Air Pistol Women
1542423,Women's Foil Individual
1542468,Men's Doubles
1542473,Men's Doubles
1542494,Women -52 kg
1542511,Men -81 kg
1542537,Men's Singles
1542539,Men's Team
1542541,Men's Singles
1542541,Men's Team
1542543,Women's Singles
1542543,Women's Team
1542547,Men's Singles
1542547,Men's Team
1542547,Mixed Doubles
1542549,Women's Singles
1542549,Women's Team
1542549,Mixed Doubles
1542553,Women's Team
1542726,Men -90 kg
1542850,Men's 400m Hurdles
1542866,Women's Park
1542889,Women
1542889,Women's All-Around
1542889,Women's Balance Beam
1542889,Women's Floor Exercise
1542889,Women's Uneven Bars
1542889,Women's Vault
1542901,B-Boys
1542909,B-Girls
1542945,Women's 10m Platform
1542954,Women's Singles
1542955,Women's 81kg
1542959,Men -81 kg
1542961,Men's 100m Freestyle
1542963,Women's 50m Freestyle
1542996,Women's Individual
1543012,Men's Individual
1543015,Men
1543017,Men
1543019,Men
1543020,Men
1543021,Men
1543022,Men
1543024,Men
1543026,Men
1543028,Men
1543029,Men
1543030,Men
1543031,Men
1543033,Men
1543054,Men's 100m Freestyle
1543059,Men
1543061,Men
1543064,Men
1543080,Women's 100m Backstroke
1543088,Men's Freestyle 125kg
1543090,Men's 800m
1543093,Men's 200m Breaststroke
1543095,Men's Freestyle 97kg
1543197,Men's 100m
1543247,Men's Greco-Roman 60kg
1543253,Men's Greco-Roman 67kg
1543258,Men's Greco-Roman 77kg
1543266,Men's Greco-Roman 87kg
1543272,Men's Singles
1543274,Women's 75kg
1543281,Men's Shot Put
1543282,Women's Hammer Throw
1543283,4 x 400m Relay Mixed
1543285,Women's 4 x 400m Relay
1543288,Women's 10m Platform
1543297,Women
1543299,Women
1543302,Men's 50m Freestyle
1543303,Relay Only Athlete
1543304,Women's 100m Breaststroke
1543304,Women's 200m Breaststroke
1543305,Women's 100m Butterfly
1543305,Women's 200m Individual Medley
1543305,Women's 400m Individual Medley
1543306,Men's Skiff
1543307,Men's Skiff
1543310,Women's Dinghy
1543312,Women's 4 x 100m Freestyle Relay
1543312,Relay Only Athlete
1543314,Men's Road Race
1543314,Men's Individual Time Trial
1543316,Women's Individual Stroke Play
1543317,Men's Double Sculls
1543318,Men's Pair
1543319,Women's Four
1543320,Women's Double Sculls
1543322,Lightweight Men's Double Sculls
1543327,Women's 400m
1543327,Women's 4 x 400m Relay
1543389,Men's Marathon
1543408,Men
1543412,Men's Individual
1543412,Men's Team
1543418,Men's 100m
1543422,Women's 100m
